央视频道,#genre#
CCTV-1高清,http://idc.zymok.cn:10000/rtp/239.77.0.86:5146
CCTV-1超清,http://idc.zymok.cn:10000/rtp/239.77.0.129:5146
﻿﻿CCTV1-综合,http://naslmd2.myqnapcloud.com:4022/rtp/239.3.1.129:8008?$北京联通
CCTV-2高清,http://idc.zymok.cn:10000/rtp/239.253.43.17:5146
CCTV-2高清测试,http://idc.zymok.cn:10000/rtp/239.77.0.137:5146
CCTV2-财经,http://naslmd2.myqnapcloud.com:4022/rtp/239.3.1.60:8084?$北京联通
CCTV-3高清,http://idc.zymok.cn:10000/rtp/239.77.0.169:5146
CCTV-3超清,http://idc.zymok.cn:10000/rtp/239.77.0.175:5146
CCTV3-综艺,http://naslmd2.myqnapcloud.com:4022/rtp/239.3.1.172:8001?$北京联通
CCTV-4高清,http://idc.zymok.cn:10000/rtp/239.77.0.78:5146
CCTV-4K 4K,http://idc.zymok.cn:10000/rtp/239.77.0.194:5146
CCTV-4K 4K50p,http://idc.zymok.cn:10000/rtp/239.77.0.174:5146
CCTV4-国际,http://naslmd2.myqnapcloud.com:4022/rtp/239.3.1.105:8092?$北京联通
CCTV4-国际,http://naslmd2.myqnapcloud.com:4022/rtp/239.3.1.213:4220?$北京联通
CCTV4-国际,http://naslmd2.myqnapcloud.com:4022/rtp/239.3.1.214:4220?$北京联通
CCTV-5高清,http://idc.zymok.cn:10000/rtp/239.77.0.170:5146
CCTV-5超清,http://idc.zymok.cn:10000/rtp/239.77.0.177:5146
CCTV-5+高清,http://idc.zymok.cn:10000/rtp/239.77.1.147:5146
CCTV5-体育,http://naslmd2.myqnapcloud.com:4022/rtp/239.3.1.173:8001?$北京联通
CCTV5-体育plus,http://naslmd2.myqnapcloud.com:4022/rtp/239.3.1.130:8004?$北京联通
CCTV-6高清,http://idc.zymok.cn:10000/rtp/239.77.0.171:5146
CCTV-6超清,http://idc.zymok.cn:10000/rtp/239.77.0.178:5146
CCTV6-电影,http://naslmd2.myqnapcloud.com:4022/rtp/239.3.1.174:8001?$北京联通
CCTV-7高清,http://idc.zymok.cn:10000/rtp/239.77.1.167:5146
CCTV-7高清测试,http://idc.zymok.cn:10000/rtp/239.77.0.138:5146
CCTV7-军事,http://naslmd2.myqnapcloud.com:4022/rtp/239.3.1.61:8104?$北京联通
CCTV-8高清,http://idc.zymok.cn:10000/rtp/239.77.0.172:5146
CCTV-8超清,http://idc.zymok.cn:10000/rtp/239.77.0.181:5146
CCTV8-电视剧,http://naslmd2.myqnapcloud.com:4022/rtp/239.3.1.175:8001?$北京联通
CCTV-9高清,http://idc.zymok.cn:10000/rtp/239.77.1.168:5146
CCTV-9高清测试,http://idc.zymok.cn:10000/rtp/239.77.0.135:5146
CCTV9-纪录,http://naslmd2.myqnapcloud.com:4022/rtp/239.3.1.62:8112?$北京联通
CCTV-10高清,http://idc.zymok.cn:10000/rtp/239.77.1.169:5146
CCTV-10高清测试,http://idc.zymok.cn:10000/rtp/239.77.0.134:5146
CCTV10-科教,http://naslmd2.myqnapcloud.com:4022/rtp/239.3.1.63:8116?$北京联通
CCTV-11高清,http://idc.zymok.cn:10000/rtp/239.77.1.238:5146
CCTV11-戏曲,http://naslmd2.myqnapcloud.com:4022/rtp/239.3.1.152:8120?$北京联通
CCTV-12高清,http://idc.zymok.cn:10000/rtp/239.77.1.170:5146
CCTV-12高清测试,http://idc.zymok.cn:10000/rtp/239.77.0.136:5146
CCTV12-社会与法,http://naslmd2.myqnapcloud.com:4022/rtp/239.3.1.64:8124?$北京联通
CCTV-13高清,http://idc.zymok.cn:10000/rtp/239.253.43.196:5146
CCTV13-新闻,http://naslmd2.myqnapcloud.com:4022/rtp/239.3.1.124:8128?$北京联通
CCTV-14高清,http://idc.zymok.cn:10000/rtp/239.77.1.171:5146
CCTV-14高清测试,http://idc.zymok.cn:10000/rtp/239.77.0.133:5146
CCTV14-少儿,http://naslmd2.myqnapcloud.com:4022/rtp/239.3.1.65:8132?$北京联通
CCTV-15高清,http://idc.zymok.cn:10000/rtp/239.77.1.239:5146
CCTV15-音乐,http://naslmd2.myqnapcloud.com:4022/rtp/239.3.1.153:8136?$北京联通
CCTV-16高清,http://idc.zymok.cn:10000/rtp/239.77.1.76:5146
CCTV-16 4K,http://idc.zymok.cn:10000/rtp/239.77.1.98:5146
CCTV16-奥林匹克,http://naslmd2.myqnapcloud.com:4022/rtp/239.3.1.184:8001?$北京联通
CCTV-17高清,http://idc.zymok.cn:10000/rtp/239.77.1.121:5146
CCTV17-农业农村,http://naslmd2.myqnapcloud.com:4022/rtp/239.3.1.151:8144?$北京联通
4K,http://naslmd2.myqnapcloud.com:4022/rtp/239.3.1.249:8001?$北京联通
广东综艺 4K,http://idc.zymok.cn:10000/rtp/239.77.1.237:5146
广东综艺 4K50p,http://idc.zymok.cn:10000/rtp/239.77.1.236:5146
广东综艺(4k),http://idc.zymok.cn:10000/rtp/239.77.0.244:5146
广东综艺4k,http://idc.zymok.cn:10000/rtp/239.77.0.252:5146
华数4K,http://naslmd2.myqnapcloud.com:4022/rtp/239.3.1.236:2000?$北京联通
南国都市 4K,http://idc.zymok.cn:10000/rtp/239.253.43.99:5146
卫视频道,#genre#
安徽卫视,http://idc.zymok.cn:10000/rtp/239.77.1.13:5146
安徽卫视,http://naslmd2.myqnapcloud.com:4022/rtp/239.3.1.211:8064?$北京联通
安徽卫视高清,http://idc.zymok.cn:10000/rtp/239.77.0.183:5146
北京卫视,http://idc.zymok.cn:10000/rtp/239.77.1.14:5146
北京卫视,http://naslmd2.myqnapcloud.com:4022/rtp/239.3.1.241:8000?$北京联通
北京卫视高清,http://idc.zymok.cn:10000/rtp/239.77.0.91:5146
重庆卫视,http://idc.zymok.cn:10000/rtp/239.77.1.16:5146
重庆卫视,http://naslmd2.myqnapcloud.com:4022/rtp/239.3.1.122:8160?$北京联通
重庆卫视高清,http://idc.zymok.cn:10000/rtp/239.77.0.182:5146
大湾区卫视,http://idc.zymok.cn:10000/rtp/239.77.1.12:5146
大湾区卫视高清,http://idc.zymok.cn:10000/rtp/239.77.0.215:5146
东方卫视,http://idc.zymok.cn:10000/rtp/239.77.1.48:5146
东方卫视高清,http://idc.zymok.cn:10000/rtp/239.77.0.98:5146
东南卫视,http://idc.zymok.cn:10000/rtp/239.77.1.213:5146
东南卫视,http://naslmd2.myqnapcloud.com:4022/rtp/239.3.1.156:8148?$北京联通
东南卫视高清,http://idc.zymok.cn:10000/rtp/239.77.1.104:5146
广东卫视,http://idc.zymok.cn:10000/rtp/239.77.1.2:5146
广东卫视,http://naslmd2.myqnapcloud.com:4022/rtp/239.3.1.142:8048?$北京联通
广东卫视超清,http://idc.zymok.cn:10000/rtp/239.77.0.166:5146
广东卫视高清,http://idc.zymok.cn:10000/rtp/239.77.0.84:5146
贵州卫视,http://idc.zymok.cn:10000/rtp/239.77.1.61:5146
贵州卫视,http://naslmd2.myqnapcloud.com:4022/rtp/239.3.1.149:8076?$北京联通
贵州卫视高清,http://idc.zymok.cn:10000/rtp/239.77.0.230:5146
河北卫视,http://idc.zymok.cn:10000/rtp/239.77.1.60:5146
河北卫视,http://naslmd2.myqnapcloud.com:4022/rtp/239.3.1.148:8072?$北京联通
河北卫视高清,http://idc.zymok.cn:10000/rtp/239.77.0.148:5146
河南卫视,http://idc.zymok.cn:10000/rtp/239.77.1.58:5146
河南卫视高清,http://idc.zymok.cn:10000/rtp/239.77.0.17:5146
黑龙江卫视,http://idc.zymok.cn:10000/rtp/239.77.1.71:5146
