404: Not Found央视频道,#genre#
4K,http://dsm.ipddns.top:8888/rtp/239.3.1.249:8001?$北京联通
华数4K,http://dsm.ipddns.top:8888/rtp/239.3.1.236:2000?$北京联通
北京频道,#genre#
BTV国际,http://dsm.ipddns.top:8888/rtp/239.3.1.235:8000?$北京联通
北京财经,http://dsm.ipddns.top:8888/rtp/239.3.1.116:8000?$北京联通
北京冬奥纪实,http://dsm.ipddns.top:8888/rtp/239.3.1.243:8000?$北京联通
北京纪实科教,http://dsm.ipddns.top:8888/rtp/239.3.1.115:8000?$北京联通
北京卡酷少儿,http://dsm.ipddns.top:8888/rtp/239.3.1.189:8000?$北京联通
北京生活,http://dsm.ipddns.top:8888/rtp/239.3.1.117:8000?$北京联通
北京文艺,http://dsm.ipddns.top:8888/rtp/239.3.1.242:8000?$北京联通
北京新闻,http://dsm.ipddns.top:8888/rtp/239.3.1.159:8000?$北京联通
北京影视,http://dsm.ipddns.top:8888/rtp/239.3.1.158:8000?$北京联通
睛彩广场舞,http://dsm.ipddns.top:8888/rtp/239.3.1.128:8001?$北京联通
淘宝贝,http://dsm.ipddns.top:8888/rtp/239.3.1.238:8001?$北京联通
淘电影,http://dsm.ipddns.top:8888/rtp/239.3.1.250:8001?$北京联通
淘精彩,http://dsm.ipddns.top:8888/rtp/239.3.1.178:8001?$北京联通
淘剧场,http://dsm.ipddns.top:8888/rtp/239.3.1.95:8001?$北京联通
淘娱乐,http://dsm.ipddns.top:8888/rtp/239.3.1.100:8001?$北京联通
