#鉴于酒店源的不实用性,本次最后一次更新。如果需要的话,请fork以后自行启用工作流程
最后更新时间2026-02-08 11:35,#genre#
享受当下,https://gh.tryxd.cn/https://raw.githubusercontent.com/alantang1977/X/main/Pictures/Robot.mp4
央视频道,#genre#
CCTV1,http://123.101.157.34:808/hls/1/index.m3u8?$智慧光迅听说名字越长越好看
CCTV2,http://123.101.157.34:808/hls/2/index.m3u8?$智慧光迅听说名字越长越好看
CCTV3,http://123.101.157.34:808/hls/3/index.m3u8?$智慧光迅听说名字越长越好看
CCTV5+,http://123.101.157.34:808/hls/18/index.m3u8?$智慧光迅听说名字越长越好看
CCTV6,http://123.101.157.34:808/hls/6/index.m3u8?$智慧光迅听说名字越长越好看
CCTV7国防河南军事,http://123.101.157.34:808/hls/7/index.m3u8?$智慧光迅听说名字越长越好看
CCTV8,http://123.101.157.34:808/hls/8/index.m3u8?$智慧光迅听说名字越长越好看
CCTV9,http://123.101.157.34:808/hls/9/index.m3u8?$智慧光迅听说名字越长越好看
CCTV10,http://123.101.157.34:808/hls/10/index.m3u8?$智慧光迅听说名字越长越好看
CCTV11,http://123.101.157.34:808/hls/11/index.m3u8?$智慧光迅听说名字越长越好看
CCTV12,http://123.101.157.34:808/hls/12/index.m3u8?$智慧光迅听说名字越长越好看
CCTV13,http://123.101.157.34:808/hls/13/index.m3u8?$智慧光迅听说名字越长越好看
CCTV14,http://123.101.157.34:808/hls/14/index.m3u8?$智慧光迅听说名字越长越好看
CCTV15,http://123.101.157.34:808/hls/15/index.m3u8?$智慧光迅听说名字越长越好看
CCTV17,http://123.101.157.34:808/hls/17/index.m3u8?$智慧光迅听说名字越长越好看

卫视频道,#genre#
北京卫视,http://123.101.157.34:808/hls/64/index.m3u8?$智慧光迅听说名字越长越好看
江苏卫视,http://123.101.157.34:808/hls/63/index.m3u8?$智慧光迅听说名字越长越好看
上海卫视,http://123.101.157.34:808/hls/62/index.m3u8?$智慧光迅听说名字越长越好看
西藏卫视,http://123.101.157.34:808/hls/5/index.m3u8?$智慧光迅听说名字越长越好看
浙江卫视,http://123.101.157.34:808/hls/61/index.m3u8?$智慧光迅听说名字越长越好看
省市频道,#genre#
河南都市,http://123.101.157.34:808/hls/32/index.m3u8?$智慧光迅听说名字越长越好看
河南公共,http://123.101.157.34:808/hls/38/index.m3u8?$智慧光迅听说名字越长越好看
河南国际,http://123.101.157.34:808/hls/40/index.m3u8?$智慧光迅听说名字越长越好看
河南河南新农村,http://123.101.157.34:808/hls/39/index.m3u8?$智慧光迅听说名字越长越好看
河南影视,http://123.101.157.34:808/hls/35/index.m3u8?$智慧光迅听说名字越长越好看
其他频道,#genre#
CETV1,http://123.101.157.34:808/hls/19/index.m3u8?$智慧光迅听说名字越长越好看
CGTN,http://123.101.157.34:808/hls/16/index.m3u8?$智慧光迅听说名字越长越好看
